"Data compiled by Iraq Body Count as of Tuesday, 6th March 2012"
"The reports from which this table is compiled have all been in the public domain."
"This specific compilation is copyrighted to Iraq Body Count (IBC)."
"Permission to use it for commercial use must be obtained from admin AT iraqbodycount.org"
""
"For a detailed explanation of these figures and how they were derived, see"
"http://www.iraqbodycount.org/about/"
""
"This table is constantly being updated. The latest version of this file can always be"
"obtained from http://www.iraqbodycount.org/database/download/ibc-incidents.php"

"IBC code","Start Date","End Date","Time","Location","Target","Weapons","Reported Minimum","Reported Maximum","Sources"
"k18319","16 Jan 2012","16 Jan 2012","AM","Al-Ghadeer, Batilla, 20 km east of Mosul","Shabak residential complex","car bomb","9","9","REU 16 Jan, XIN 16 Jan"
"k18312","15 Jan 2012","15 Jan 2012","-","Salahiya, Hamam Alil","civilians in home","gunfire","2","2","AKnews 15 Jan"
"k18314","15 Jan 2012","15 Jan 2012","AM","Baiji","police station and court","car bomb","1","1","XIN 15 Jan, AFP 15 Jan"
"k18315","15 Jan 2012","15 Jan 2012","11:30 AM-2:00 PM","Ramadi","government compound and other areas","car bombs, roadside bombs, suicide bombers, gunfire","7","10","VOI 15 Jan, AFP 15 Jan, WP 15 Jan, Al-Iraq 15 Jan"
"k18308","14 Jan 2012","14 Jan 2012","-","Shwertan, Garma","police patrol","roadside bomb","1","1","REU 14 Jan, AKnews 14 Jan"
"k18309","14 Jan 2012","14 Jan 2012","PM","Al-Zuhour, Tikrit","police patrol","car bomb","1","1","NINA 14 Jan, AP 14 Jan"
"k18311","14 Jan 2012","14 Jan 2012","9:00 AM","al-Zubair, near Basra","Shiite pilgrims at police checkpoint","suicide bomber","63","64","NYT 15 Jan, VOI 14 Jan"
"k18313","14 Jan 2012","14 Jan 2012","PM","Bazweta, near Bartilla, 30 km north of Mosul","Shiite pilgrims, police killed","roadside bomb","2","2","AKnews 15 Jan"
"k18304","13 Jan 2012","13 Jan 2012","-","west Khanaqin","body of man found shot dead","gunfire","1","1","REU 13 Jan"
"k18305","13 Jan 2012","13 Jan 2012","-","al-Latefiya","Shiite pilgrims","roadside bomb","2","2","PUKM 13 Jan"
"k18306","13 Jan 2012","13 Jan 2012","-","Kirkuk","-","car bomb","1","1","AKnews 13 Jan, KUNA 13 Jan"
"k18307","13 Jan 2012","13 Jan 2012","-","near Shohada Bridge, Kirkuk","motorcycle owner","magnetic bomb attached to motorcycle","1","1","REU 13 Jan, AKnews 13 Jan"
"k18310","13 Jan 2012","13 Jan 2012","-","Hamam Alil, 20 km south of Mosul","police patrol","roadside bomb","1","3","REU 13 Jan, VOI 13 Jan, AKnews 14 Jan, DPA 14 Jan"
"k18300","12 Jan 2012","12 Jan 2012","-","al-Zahraa, east Mosul","man near home","gunfire","1","1","VOI 12 Jan, NINA 12 Jan"
"k18301","12 Jan 2012","12 Jan 2012","AM","Badush, west of Mosul","man on way to work","gunfire","1","1",""
"k18302","12 Jan 2012","12 Jan 2012","-","Kifl, near Hilla","Shiite pilgrims near vegetable market","roadside bomb","1","1","REU 12 Jan, XIN 12 Jan"
"k18303","12 Jan 2012","12 Jan 2012","-","Latifiyah","Shiite pilgrims","roadside or car bomb","1","1","XIN 12 Jan, NINA 12 Jan"
"k18297","11 Jan 2012","11 Jan 2012","-","al- Ghazaleya, west Baghdad","Hussaini procession","roadside bomb","3","3","PUKM 11 Jan"
"k18298","11 Jan 2012","11 Jan 2012","PM","central Hit","Saeed Hamdan Ghazal, mayor of Hit","drive-by shooting","1","1","NINA 11 Jan, AP 11 Jan"
"k18299","11 Jan 2012","11 Jan 2012","PM","Baghdad Jadidah","off-duty counter-terrorist police in car","drive-by shooting","2","2","AFP 11 Jan, NINA 11 Jan"
"k18290","10 Jan 2012","10 Jan 2012","-","north of Sinjar","police patrol, police and civilian killed","roadside bomb","3","3","AKnews 10 Jan"
"k18291","10 Jan 2012","10 Jan 2012","-","Mosul","policeman","drive-by shooting","1","1","AP 10 Jan"
"k18292","10 Jan 2012","10 Jan 2012","8:00 AM","Shorija, north Kirkuk","dismembered body of Khalil Ibrahim Awdal, paramedic, found in garbage","dismembered body found, executed","1","1","AKnews 10 Jan, VOI 10 Jan"
"k18293","10 Jan 2012","10 Jan 2012","-","Bab al-Saray market, Mosul","policeman","gunfire","1","1","AKnews 10 Jan, NINA 10 Jan"
"k18294","10 Jan 2012","10 Jan 2012","PM","Zahra Husseiniya, Ghazaliya, west Baghdad","Shiite pilgrims near mosque","roadside bomb","1","2","AP 10 Jan, REU 11 Jan, VOI 10 Jan, NINA 10 Jan"
"k18295","10 Jan 2012","10 Jan 2012","PM","Se'dah, Qa'im","police station","machineguns","3","4","REU 11 Jan, AFP 11 Jan, NINA 10 Jan, VOI 10 Jan"
"k18296","10 Jan 2012","10 Jan 2012","-","Makhoul, north of Baiji","Agriculture Ministry employees in car","magnetic bomb attached to car","2","2","REU 10 Jan, NINA 10 Jan"
"k18282","9 Jan 2012","9 Jan 2012","-","al-Shuhada, central Falluja","policeman's house","bombs round house","1","1","AKnews 9 Jan"
"k18283","9 Jan 2012","9 Jan 2012","-","Udhaim, north of Baquba","vegetable wholesale store","roadside bomb","1","1","NINA 9 Jan"
"k18284","9 Jan 2012","9 Jan 2012","-","west Qaem","policeman in car","roadside bomb","1","1","NINA 9 Jan"
"k18285","9 Jan 2012","9 Jan 2012","-","central Karrada, Baghdad","Fatma Tayyiq, branch manager of Commercial Bank of Iraq and husband","gunfire","2","2","AP 9 Jan, NINA 9 Jan"
"k18286","8 Jan 2012","9 Jan 2012","-","Al-Khadra, west Kirkuk","Faisal Nouri Fouad, local leader, near home","gunfire","1","1","AKnews 9 Jan, Al-Iraq 9 Jan"
"k18287","9 Jan 2012","9 Jan 2012","6:30 PM","Bayaa/Mowasalat/Suwaib, soutwest Baghdad","Shiite pilgrims near mosque","suicide car bomb","8","9","AP 9 Jan, REU 9 Jan"
"k18288","9 Jan 2012","9 Jan 2012","7:00 PM","Shaab, northeast Baghdad","Shiite pilgrims near market","car bomb","7","7","AP 9 Jan, NINA 9 Jan"
"k18289","9 Jan 2012","9 Jan 2012","AM","Mahmoudiya/Uwairij/Abu Dshir","Shiite pilgrims","roadside bomb","1","2","DPA 9 Jan, CNN 9 Jan, REU 9 Jan, AP 9 Jan"
"k18271","7 Jan 2012","8 Jan 2012","-","Talaban, near Chamchamal","Haval Karim, shepherd, in home","gunfire","1","1","AKnews 8 Jan"
"k18278","8 Jan 2012","8 Jan 2012","PM","central Kirkuk","municipal government employee","gunfire","1","1","REU 8 Jan"
"k18279","8 Jan 2012","8 Jan 2012","-","al-Shuhada, central Falluja","police checkpoint","gunfire","2","2","AKnews 8 Jan"
"k18280","8 Jan 2012","8 Jan 2012","-","between Hindiya and Abu-Gharaq","checkpoint, pilgrim killed","roadside bomb","1","1","VOI 8 Jan"
"k18281","8 Jan 2012","8 Jan 2012","-","north of Karbala","Shiite pilgrims","roadside bombs","2","2","VOI 8 Jan, DPA 8 Jan"
"k18270","7 Jan 2012","7 Jan 2012","-","Chamchamal, 45 km east of Kirkuk","gunbattle between two men, passer-by also killed","gunfire","2","2","AKnews 7 Jan"
"k18272","7 Jan 2012","7 Jan 2012","-","Baladruz","old man in home","bomb near home","1","1","XIN 7 Jan"
"k18273","6 Jan 2012","7 Jan 2012","-","north of Kut","tortured body of kidnapped driver found on highway","tortured, executed","1","1","VOI 7 Jan"
"k18274","7 Jan 2012","7 Jan 2012","PM","Khadhra, east Mosul","off-duty policeman in mosque","gunfire","1","1","REU 7 Jan, NINA 7 Jan"
"k18275","7 Jan 2012","7 Jan 2012","PM","Zuhairat, Muqdadiya","body of woman in her 30s found shot dead near irrigation river","gunfire","1","1","REU 7 Jan, NINA 7 Jan"
"k18276","7 Jan 2012","7 Jan 2012","AM","Mahmudiya","Shiite pilgrims","roadside bomb","1","2","VOI 7 Jan, NINA 7 Jan, REU 7 Jan, Al-Jaz 7 Jan"
"k18277","7 Jan 2012","7 Jan 2012","AM","Mafraq, Baquba","Shiite pilgrims in minibus","magnetic bomb attached to car","1","1","REU 7 Jan, XIN 7 Jan"
"k18264","6 Jan 2012","6 Jan 2012","-","Saidiya, south Baghdad","major intersection, pilgrim killed","roadside bomb","1","1","REU 6 Jan"
"k18265","6 Jan 2012","6 Jan 2012","-","Baladruz","tractor driver","roadside bomb","1","1","REU 6 Jan"
"k18266","6 Jan 2012","6 Jan 2012","-","Abu Dshir, Dora, southwest Baghdad","Shiite pilgrims","roadside bomb","1","1","REU 6 Jan, AKnews 6 Jan"
"k18267","6 Jan 2012","6 Jan 2012","-","al-Batul, east Baghdad","civilian car","magnetic bomb attached to car","2","2","PUKM 6 Jan"
"k18268","6 Jan 2012","6 Jan 2012","-","Hammam al-Alil, 20 km south of Mosul","policeman","gunfire","1","1","NINA 6 Jan"
"k18269","6 Jan 2012","6 Jan 2012","-","Ayadiya, 90 km west of Mosul","Iraqi army or police patrol","roadside bomb","2","4","AKnews 6 Jan, DPA 6 Jan"
"k18257","5 Jan 2012","5 Jan 2012","-","Falluja","civilian car hit","roadside bomb","1","1","AKnews 5 Jan"
"k18258","5 Jan 2012","5 Jan 2012","-","Jurf al-Sakhar","labourer returning home","gunfire","1","1","NINA 5 Jan"
"k18259","5 Jan 2012","5 Jan 2012","PM","Aden, east Mosul","brothers, labourers, returning home","gunfire","1","1","REU 5 Jan, NINA 5 Jan"
"k18260","5 Jan 2012","5 Jan 2012","-","Ain al-Jahash, 70 km southwest of Mosul","minibus carrying Shiite pilgrims from Talafar, child killed","roadside bomb","1","1","REU 5 Jan, VOI 5 Jan"
"k18261","5 Jan 2012","5 Jan 2012","PM","al-Batha, near Nasiriya","Shiite pilgrims at security checkpoint, soldiers also killed","suicide bomber","45","45","AP 5 Jan, WP 5 Jan"
"k18262","5 Jan 2012","5 Jan 2012","7:00-8:00 AM","Sadr City, Baghdad","day labourers and area near hospital","motorcycle and roadside bombs","13","13","REU 5 Jan, KUNA 5 Jan"
"k18263","5 Jan 2012","5 Jan 2012","9:00 AM","Al-Urouba and al-Zahraa, Kadhimiyah, Baghdad","Shiite Endowment Office and intersections","car bombs","15","15","XIN 5 Jan, VOI 5 Jan"
"k18252","4 Jan 2012","4 Jan 2012","PM","central Karrada, Baghdad","off-duty police lieutenant in car","gunfire","1","1","REU 4 Jan"
"k18253","4 Jan 2012","4 Jan 2012","-","Abu Ghraib","former Awakening Council leader and wife in home","drive-by shooting","2","2","AKnews 4 Jan, AP 4 Jan"
"k18254","4 Jan 2012","4 Jan 2012","-","Baquba","boys at play","booby-trapped mobile phone","1","1","REU 4 Jan, AFP 4 Jan"
"k18255","4 Jan 2012","4 Jan 2012","-","central Basra","civilian car","roadside bomb","1","1","NINA 4 Jan"
"k18256","4 Jan 2012","4 Jan 2012","AM","Mafraq, Gatoun, Shuhada, Baquba","checkpoints, patrols and homes of security officers","roadside bombs","2","2","AP 4 Jan, AKnews 4 Jan"
"k18250","3 Jan 2012","3 Jan 2012","PM","60 km west of Mosul","","roadside bomb","1","1","REU 3 Jan, VOI 3 Jan"
"k18249","3 Jan 2012","3 Jan 2012","-","Bab Al-Sharqi, Baghdad","Interior Ministry officer","gunfire","1","1","PUKM 3 Jan"
"k18251","3 Jan 2012","3 Jan 2012","-","Liheb, Muqdadiya","Mahmoud Hameed, Awakening Council member, in home","gunfire","1","1","REU 3 Jan, AKnews 4 Jan"
"k18246","2 Jan 2012","2 Jan 2012","-","Fallujah","civilian car hit","roadside bomb","1","1","AKnews 2 Jan"
"k18247","2 Jan 2012","2 Jan 2012","-","Ur, east Baghdad","Interior Ministry employee","gunfire","1","1","PUKM 2 Jan"
"k18248","2 Jan 2012","2 Jan 2012","-","Imam Wees, between Baquba and Khanaqeen","civilian car","magnetic bomb attached to car","1","1","NINA 2 Jan"
"k18240","1 Jan 2012","1 Jan 2012","AM","Hamam Alil, 20 km south of Mosul","clashes between police and gunmen, passers-by killed in crossfire","gunfire","2","2","AKnews 1 Jan"
"k18241","1 Jan 2012","1 Jan 2012","PM","Tahreer, Baquba","restaurant","roadside bomb","1","1","NINA 1 Jan"
"k18242","1 Jan 2012","1 Jan 2012","PM","Mo'alemeen, central Falluja","lawyer in home","stabbed","1","1","NINA 1 Jan"
"k18243","31 Dec 2011","1 Jan 2012","-","Sayed Gharib, south of Balad","-","roadside bomb","3","3","REU 1 Jan, Al-Shar 1 Jan"
"k18244","1 Jan 2012","1 Jan 2012","PM","Abu Dshir, Dora, southwest Baghdad","'residence of Adel Zargani, district Commissioner in Wasst Province'","Katyusha rocket","1","1","AP 1 Jan, PUKM 2 Jan"
"k18245","1 Jan 2012","1 Jan 2012","-","Qara Durra, Dibbis, Kirkuk","civilian car","roadside bomb","1","1","VOI 2 Jan"
"k18230","31 Dec 2011","31 Dec 2011","-","Taji","Awakening Council leader and bodyguards in car","magnetic bomb attached to car","4","4","REU 31 Dec, Al-Jaz 31 Dec"
"k18232","31 Dec 2011","31 Dec 2011","-","Wahda, east Mosul","police checkpoint, police and passing civilian killed","gunfire","3","3","AKnews 31 Dec"
"k18233","31 Dec 2011","31 Dec 2011","-","Shafa, Mosul","woman shot dead in crossfire between police and gunmen","gunfire","1","1","AKnews 31 Dec"
"k18234","31 Dec 2011","31 Dec 2011","-","Akidat, south Mosul","police officer","gunfire","1","1","AKnews 31 Dec"
"k18235","31 Dec 2011","31 Dec 2011","-","al-Ba'aj, 120 km west of Mosul","Iraqi military convoy, civilian killed","roadside bomb","1","1","AKnews 31 Dec"
"k18236","31 Dec 2011","31 Dec 2011","-","Hit","restaurant","bomb","1","1","AKnews 31 Dec"
"k18237","31 Dec 2011","31 Dec 2011","-","Ur, east Baghdad","Interior Ministry employee","gunfire","1","1","NINA 31 Dec"
"k18238","31 Dec 2011","31 Dec 2011","PM","Siniya, Beiji","Awakening Council checkpoint","gunfire","1","1","NINA 31 Dec"
"k18239","31 Dec 2011","31 Dec 2011","2:00 AM","near al-Bustan, Khan Bani Saad","Awakening Council members checkpoint","drive-by shooting","5","6","REU 31 Dec, AFP 31 Dec, AKnews 31 Dec, VOI 31 Dec"
"k18231","30 Dec 2011","30 Dec 2011","-","Karmeh","peasant family in home","gunfire","4","4","VOI 30 Dec, NINA 30 Dec"
"k18227","29 Dec 2011","29 Dec 2011","-","Sadiq, north Mosul","Interior Ministry employee and mother in home","gunfire","2","2","AKnews 29 Dec"
"k18228","29 Dec 2011","29 Dec 2011","AM","Nahrawan, west Mosul","man near home","gunfire","1","1","NINA 29 Dec"
"k18229","29 Dec 2011","29 Dec 2011","-","al Meidan, Mosul","off-duty policeman","gunfire","1","1","NINA 29 Dec"
"k18222","28 Dec 2011","28 Dec 2011","-","Al Yousifiya","Awakening Council member in car","magnetic bomb attached to car","1","1","PUKM 28 Dec"
"k18223","28 Dec 2011","28 Dec 2011","-","al-Dorra, south Baghdad","civilian car","roadside bomb","1","1","PUKM 28 Dec"
"k18224","28 Dec 2011","28 Dec 2011","-","Mosul","clashes with gunmen, police killed","gunfire","3","3","DPA 28 Dec"
"k18225","28 Dec 2011","28 Dec 2011","-","west of Mosul","Samir Tariq al-Sharri, senior security officer, in car","gunfire","1","1","DPA 28 Dec"
"k18226","28 Dec 2011","28 Dec 2011","-","south Mosul","body of kidnapped man found shot","gunfire, executed","1","1","REU 28 Dec"
"k18221","27 Dec 2011","27 Dec 2011","AM","near Technical Institute in Hawija","-","car bomb","2","2","REU 27 Dec, VOI 27 Dec"
"k18215","26 Dec 2011","26 Dec 2011","-","al-Yarmuk, w. Mosul","First Lieutenant Jarjis Mohammed, army officer and father","gunfire","1","1","AKnews 26 Dec"
"k18216","26 Dec 2011","26 Dec 2011","-","Baquba","Awakening Council member in car","roadside bomb","1","1","XIN 26 Dec"
"k18217","26 Dec 2011","26 Dec 2011","-","al-Sieniya, 220 km north of Baghdad, near Baiji","kidnapped Awakening Council member found shot dead","gunfire, executed","1","1","REU 26 Dec, DPA 26 Dec"
"k18218","26 Dec 2011","26 Dec 2011","-","Alyabsat, west Mosul","police checkpoint","gunfire","1","1","NINA 26 Dec"
"k18219","26 Dec 2011","26 Dec 2011","-","Musayab","bodies of farmer and policeman found shot in drainage canal","gunfire","2","2","NINA 26 Dec"
"k18220","26 Dec 2011","26 Dec 2011","7:30 AM","Ishbilya Square, central Baghdad","police checkpoint at Interior Ministry","suicide car bomb","6","7","REU 26 Dec, AP 26 Dec"
"k18209","24 Dec 2011","25 Dec 2011","-","Baquba","body of man found shot dead","gunfire","1","1","REU 25 Dec"
"k18210","24 Dec 2011","25 Dec 2011","-","Arbat, 27 km northeast of Sulaimaniyah","security guard and cleaner or policeman","gunfire","2","2","AKnews 25 Dec, VOI 25 Dec"
"k18211","25 Dec 2011","25 Dec 2011","0","Abu Gharib","civilian car","roadside bomb","2","2","PUKM 25 Dec"
"k18212","25 Dec 2011","25 Dec 2011","-","Al-Adhamiya, north Baghdad","civil engineer in car","magnetic bomb attached to car","1","1","PUKM 25 Dec"
"k18213","25 Dec 2011","25 Dec 2011","PM","Fallujah","policeman on way home","drive-by shooting","1","1","AFP 25 Dec, NINA 25 Dec"
"k18214","25 Dec 2011","25 Dec 2011","-","Mosul","Iraqi Christian man","gunfire","1","1","DPA 25 Dec"
"k18206","24 Dec 2011","24 Dec 2011","AM","Nasr, south Kirkuk","Jalal Mohammed Hama-Murad, Arsalan Primary School principal and Kurdish politician","magnetic bomb attached to car","1","1","AKnews 24 Dec"
"k18207","24 Dec 2011","24 Dec 2011","-","Hawija","police patrol","roadside bomb","2","2","REU 24 Dec, AKnews 24 Dec"
"k18208","21 Dec 2011","24 Dec 2011","-","Nasr, south Kirkuk","Hassan and Mohammed Talag Alwan, Arab brothers","gunfire, executed","2","2","AKnews 24 Dec"
"k18204","23 Dec 2011","23 Dec 2011","-","al-Thaqafiya, north Mosul","shopping area","roadside bomb","3","3","AKnews 23 Dec"
"k18205","23 Dec 2011","23 Dec 2011","PM","Nasr, Kirkuk","'Mohammed Hassan , headman for Nasr neighborhood'","magnetic bomb attached to car","1","1","AKnews 24 Dec, REU 24 Dec"
"k18198","22 Dec 2011","22 Dec 2011","-","Mosul","body of young man found shot dead","gunfire","1","1","REU 22 Dec"
"k18199","22 Dec 2011","22 Dec 2011","AM","Hashimiyat, Khalis","family of Awakening Council member, Samih Mubarak,  in home","gunfire","5","5","REU 22 Dec, AFP 22 Dec"
"k18200","22 Dec 2011","22 Dec 2011","-","north Mosul","shopping area","roadside bomb","2","2","VOI 22 Dec, KUNA 22 Dec"
"k18201","22 Dec 2011","22 Dec 2011","PM","Gatun/Al-Mafraq, west Baquba","security guard","gunfire","1","1","REU 22 Dec, NINA 23 Dec"
"k18202","22 Dec 2011","22 Dec 2011","-","First Qadesiyah, south Kirkuk","body of man found with throat slit","throat slit, executed","1","1","REU 22 Dec, AKnews 23 Dec"
"k18203a","22 Dec 2011","22 Dec 2011","-","Amel, west Baghdad","police patrol","roadside bombs","7","7","REU 22 Dec, Belfast Telegraph 23 Dec"
"k18203b","22 Dec 2011","22 Dec 2011","AM","Integrity Commission building, Karrada, Baghdad","Integrity Commission building","suicide ambulance bomb","24","25","AP 22 Dec, LAT 23 Dec"
"k18203c","22 Dec 2011","22 Dec 2011","PM","Jihad, southwest Baghdad","-","car bomb and roadside bomb","2","4","NINA 22 Dec, Al-Iraq 23 Dec, REU 22 Dec, PUKM 23 Dec"
"k18203d","22 Dec 2011","22 Dec 2011","AM","Abu Dsheer/Dora, south Baghdad","primary school pupils and Turkish labourers hit","car bomb, roadside bombs","3","3","REU 22 Dec, AKnews 22 Dec"
"k18203e","22 Dec 2011","22 Dec 2011","AM","Allawi/Halawi, central Baghdad","construction workers","car bomb, roadside bombs","4","16","REU 22 DEc, AP 22 Dec, Tel 22 Dec, AFP 22 Dec"
"k18203f","22 Dec 2011","22 Dec 2011","AM","near Tabqain bridge, Jadriya, southeast Baghdad","-","car bomb","1","1","NINA 22 Dec, AKnews 22 Dec"
"k18203g","22 Dec 2011","22 Dec 2011","-","Shula, northwest Baghdad","wholesale vegetable market","roadside bomb","1","1","REU 22 Dec"
"k18203h","22 Dec 2011","22 Dec 2011","AM","Bab al-Muaddam, Baghdad","civilian car hit","magnetic bomb attached to car","0","3","AKnews 22 Dec"
"k18203i","22 Dec 2011","22 Dec 2011","AM","Ghazaliya, west Baghdad","residential area","Katyusha rocket","1","1","NINA 22 Dec"
"k18203j","22 Dec 2011","22 Dec 2011","AM","Shaab, northeast Baghdad","army checkpoint","car bomb","3","3","VOI 22 Dec, NINA 22 Dec"
"k18203k","22 Dec 2011","22 Dec 2011","PM","Al-Shurta al-Khamissa, southwest Baghdad","-","roadside bomb and car bomb","5","5","REU 22 Dec, Al-Shar 23 Dec"
"k18203l","22 Dec 2011","22 Dec 2011","PM","Al-Shurtta al-Rabea, west Baghdad","-","roadside bomb","2","2","PUKM 23 Dec"
"k18203m","22 Dec 2011","22 Dec 2011","AM","Morocco Street, Adhamiya, Baghdad","drinking water pipeline","roadside bomb","1","1","REU 22 Dec, PUKM 22 Dec"
"k18203n","22 Dec 2011","22 Dec 2011","-","Baghdad","deaths from attacks not accounted for in individual incident reports","bombings","21","3","GDN 23 Dec, KUNA 23 Dec"
"k18193","21 Dec 2011","21 Dec 2011","-","Mosul","-","drive-by shooting","2","2","AKnews 21 Dec"
"k18194","21 Dec 2011","21 Dec 2011","PM","central Mosul","policeman","gunfire","1","1","NINA 21 Dec"
"k18196","21 Dec 2011","21 Dec 2011","AM","Wasit/Al-Khadraa, Kirkuk","judge Saad Abdulla","magnetic bomb attached to car, roadside bomb","1","2","AKnews 21 Dec, Al-Zaman 22 Dec, NINA 21 Dec, REU 21 Dec"
"k18197","21 Dec 2011","21 Dec 2011","-","Hamid Al Chaaban, Abu Ghraib","Sheikh Yahya Kazm Al- Zaidan, Awakening Council leader","magnetic bomb attached to car","1","1","XIN 21 Dec, NINA 22 Dec"
"k18188","20 Dec 2011","20 Dec 2011","-","central Falluja","people in military uniforms shop","bomb in shop","1","1","AKnews 20 Dec"
"k18189","20 Dec 2011","20 Dec 2011","-","Al Athamiya, Baghdad","university teacher","magnetic bomb attached to car","1","1","PUKM 20 Dec"
"k18191","20 Dec 2011","20 Dec 2011","-","Haswa, east of Falluja","civilian car","roadside bomb","1","1","NINA 20 Dec"
"k18195","20 Dec 2011","20 Dec 2011","-","Mosul","woman in market","gunfire","1","1","REU 21 Dec, VOI 20 Dec"
"k18182","19 Dec 2011","19 Dec 2011","AM","Kokjali, east Mosul","Shabak brothers, high school students","gunfire","1","1","AKnews 19 Dec"
"k18183","19 Dec 2011","19 Dec 2011","AM","between Yathrib and Balad","police patrol","roadside bomb","2","2","NINA 19 Dec"
"k18184","19 Dec 2011","19 Dec 2011","-","Amriyah, west Baghdad","civilian car","roadside bomb","1","1","XIN 19 Dec"
